ID;NOM;TYPE;FREQUENCE;COMPENSATION;POINTS;PAS_REEL;ICC_MIN;N_FUITE_LONG_ARR;CALCUL_CONFORME;I_FUITE_MAX;DIAPHONIE_MAX
2275;z7752G;TVM430;2000;P_VARIABLE;3;67.5;800;320;1;160;320
2276;z5134A;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2277;z4503A;TVM430;2300;P_VARIABLE;3;88;800;320;1;160;320
2278;z2703C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2279;z1252B;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2280;z1425A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2281;z1603C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2282;z2125A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2283;z2927A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2284;z7329A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2285;z2703D;TVM430;1700;P_VARIABLE;4;61;800;320;1;160;320
2286;z7752D;TVM430;2600;P_VARIABLE;2;86;800;320;1;160;320
2287;z7752E;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2288;z2444A;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2289;z4303C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2290;z7724A;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2291;z4403C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2292;z4175A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2293;z2603B;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2294;z5145A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2295;z4425A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2296;z2732D;TVM430;2000;P_VARIABLE;4;62;800;320;1;160;320
2297;z4145F;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2298;z4175C;TVM430;2300;P_VARIABLE;2;60;800;320;1;160;320
2299;z2033A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2300;z1303C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2301;z4603B;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2302;z4232A;TVM430;2000;P_VARIABLE;4;58.33333;800;320;1;160;320
2303;z4703C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2304;z4164D;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2305;z4503C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2306;z1903C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2307;z7410B;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2308;z1403C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
