ID;JOINT;CIRCUIT;PRINCIPAL;DB;EMETTEUR;DEMI_PAS
7234;3723;5267;True;False;True;0
7235;3723;5268;True;False;True;45.5
7236;3724;5268;True;True;True;45.5
7237;3724;5269;True;True;True;30
7238;3725;5269;True;False;True;30
7239;3725;5270;True;False;True;40
7240;3726;5270;True;False;True;40
7241;3726;5271;True;False;True;29
7242;3586;5271;True;True;True;29
7243;3727;5272;False;False;True;36
7244;3715;5272;True;False;True;72
7245;3728;5272;True;False;True;36
7246;3728;5273;True;False;True;40
7247;3729;5273;True;False;True;40
7248;3729;5274;True;False;True;25.5
7249;3730;5274;False;False;True;51
7250;3720;5274;True;False;True;25.5
7251;3624;5275;True;True;True;40
7252;3731;5275;True;False;True;40
7253;3731;5276;True;False;True;31.5
7254;3732;5276;True;False;True;31.5
7255;3732;5277;True;False;True;40
7256;3733;5277;True;False;True;40
7257;3733;5278;True;False;True;30
7258;3734;5278;False;False;True;60
7259;3735;5278;True;False;True;30
7260;3735;5279;True;False;True;40
7261;3736;5279;True;True;True;40
7262;3736;5280;True;True;True;30
7263;3737;5280;True;True;True;30
7264;3737;5281;True;True;True;40
7265;3738;5281;True;False;True;40
7266;3738;5282;True;False;True;30
7267;3739;5282;True;False;True;30
7268;3739;5283;True;False;True;0
7269;3740;5283;True;False;True;0
7270;3740;5284;True;False;True;32
7271;3741;5284;True;True;True;32
7272;3741;5285;True;True;True;40
7273;3742;5285;True;True;True;40
7274;3742;5286;True;True;True;30
7275;3743;5286;True;True;True;30
7276;3734;5287;True;False;True;39.5
7277;3744;5287;True;False;True;39.5
7278;3744;5288;True;False;True;30
7279;3745;5288;True;False;True;30
7280;3745;5289;True;False;True;35
7281;3746;5289;False;False;True;70
7282;3747;5289;True;False;True;35
7283;3747;5290;True;False;True;30.5
7284;3748;5290;True;False;True;30.5
7285;3748;5291;True;False;True;46
7286;3749;5291;True;True;True;46
7287;3749;5292;True;True;True;27.5
7288;3750;5292;True;True;True;27.5
7289;3750;5293;True;True;True;33.5
7290;3751;5293;True;True;True;33.5
7291;3751;5294;True;True;True;30
7292;3752;5294;True;True;True;30
7293;3752;5295;True;True;True;39.5
7294;3753;5295;True;False;True;39.5
7295;3746;5296;True;False;True;29
7296;3754;5296;True;True;True;29
7297;3754;5297;True;True;True;45
7298;3755;5297;True;True;True;45
7299;3755;5298;True;True;True;30
7300;3756;5298;True;True;True;30
7301;3756;5299;True;True;True;40.5
7302;3757;5299;True;False;True;40.5
7303;3743;5300;True;True;True;39.5
7304;3758;5300;True;True;True;39.5
7305;3758;5301;True;True;True;30
7306;3759;5301;True;True;True;30
7307;3759;5302;True;True;True;40
7308;3760;5302;True;False;True;40
7309;3760;5303;True;False;True;30
7310;3761;5303;False;False;True;60
7311;3762;5303;False;False;True;60
7312;3763;5303;True;False;True;30
7313;3763;5304;True;False;True;0
7314;3764;5304;True;False;True;0
7315;3764;5305;True;False;True;30
7316;3765;5305;True;False;True;30
7317;3765;5306;True;False;True;34
7318;3766;5306;True;True;True;34
7319;3766;5307;True;True;True;30
7320;3767;5307;False;False;True;60
7321;3768;5307;False;False;True;60
7322;3769;5307;True;False;True;30
7323;3769;5308;True;False;True;0
7324;3770;5308;True;False;True;0
7325;3770;5309;True;False;True;30
7326;3771;5309;True;False;True;30
7327;3771;5310;True;False;True;40
7328;3625;5310;True;True;True;40
7329;3772;5311;False;False;True;49
7330;3762;5311;True;False;True;49
7331;3773;5311;True;False;True;49
7332;3773;5312;True;True;True;87
7333;3774;5312;True;True;True;87
7334;3774;5313;True;True;True;345
7335;3767;5313;True;False;True;69
7336;3775;5313;False;False;True;34.5
7337;3632;5314;True;True;True;40
7338;3776;5314;True;True;True;40
7339;3388;2659;False;False;False;0
7340;3368;2660;True;False;False;0
7341;3399;2660;True;False;False;0
7342;3388;2660;False;False;False;0
7343;3362;2661;True;False;False;0
7344;3363;2661;True;False;False;0
7345;3400;2661;False;False;False;0
7346;3363;2670;True;False;False;0
7347;3366;2670;True;False;False;0
7348;3777;2670;False;False;False;0
7349;3366;2688;True;False;False;0
7350;3367;2688;True;False;False;0
7351;3401;2688;False;False;False;0
7352;3401;2760;True;False;False;0
7353;7543;2760;True;True;False;0
7354;3400;2761;True;False;False;0
7355;3778;2761;True;False;False;0
7356;3778;2989;True;False;False;0
7357;7537;2989;True;True;False;0
7358;7556;8702;False;False;False;0
7359;3779;2991;True;False;False;0
7360;7554;2991;True;False;False;0
7361;3780;2999;True;False;False;0
7362;3787;5325;True;False;True;29
7363;3790;5325;True;False;True;29
7364;3790;5326;True;True;True;38
7365;3791;5326;True;True;True;38
7366;3791;5327;True;False;True;32
7367;3792;5327;True;False;True;32
7368;3792;5328;True;True;True;41.5
7369;3793;5328;True;False;True;41.5
7370;3794;5329;True;True;True;40
7371;3795;5329;True;True;True;40
7372;3795;5330;True;True;True;30.5
7373;3796;5330;True;True;True;30.5
7374;3796;5331;True;True;True;43.5
7375;3797;5331;True;False;True;43.5
7376;3797;5332;True;False;True;30
7377;3798;5332;False;False;True;60
7378;3799;5332;True;False;True;30
7379;3799;5333;True;False;True;47.5
7380;3800;5333;True;False;True;47.5
7381;3800;5334;True;False;True;30
7382;3801;5334;True;False;True;30
7383;3801;5335;True;False;True;43.5
7384;3802;5335;False;False;True;87
7385;3803;5335;True;False;True;43.5
7386;3803;5336;True;False;True;30.5
7387;3804;5336;True;True;True;30.5
7388;3804;5337;True;True;True;36
7389;3805;5337;True;True;True;36
7390;4138;5338;True;False;True;30
7391;3807;5338;True;False;True;30
7392;3807;5340;True;False;True;38
7393;3798;5340;True;False;True;38
7394;3808;5341;True;True;True;43.5
7395;3809;5341;True;True;True;43.5
7396;3809;5342;True;True;True;95
7397;3802;5342;True;True;True;95
7398;3805;5343;True;True;True;29.5
7399;3810;5343;True;False;True;29.5
7400;3810;5344;True;False;True;40
7401;3811;5344;True;False;True;40
7402;3811;5345;True;False;True;30
7403;3812;5345;True;False;True;30
7404;3812;5346;True;False;True;0
7405;3813;5346;True;False;True;0
7406;3813;5347;True;False;True;30
7407;3431;5347;False;False;True;60
7408;3814;5347;False;False;True;60
7409;3815;5347;True;False;True;30
7410;3815;5348;True;False;True;0
7411;3816;5348;True;False;True;0
7412;3816;5349;True;False;True;30.5
7413;3817;5349;True;True;True;30.5
7414;3817;5350;True;True;True;36.5
7415;3818;5350;True;True;True;36.5
7416;3818;5351;True;True;True;31
7417;3819;5351;False;False;True;62
7418;3436;5351;False;False;True;62
7419;3820;5351;True;True;True;31
7420;3820;5352;True;True;True;40.5
7421;3821;5352;True;True;True;40.5
7422;3821;5353;True;True;True;30
7423;3822;5353;True;False;True;30
7424;3822;5354;True;False;True;40
7425;3823;5354;True;False;True;40
7426;3823;5355;True;False;True;30
7427;3824;5355;True;False;True;30
7428;3824;5356;True;False;True;40
7429;3825;5356;True;False;True;40
7430;3814;5357;True;False;True;36
7431;3826;5357;True;True;True;36
7432;3826;5358;True;True;True;30
7433;3827;5358;True;True;True;30
7434;3827;5359;True;True;True;27.5
7435;3828;5359;False;True;True;55
7436;3819;5359;True;False;True;27.5
7437;3829;5360;True;True;True;40
7438;3830;5360;True;False;True;40
7439;3830;5361;True;False;True;32.5
7440;3831;5361;True;False;True;32.5
7441;3831;5362;True;False;True;40
7442;3832;5362;True;False;True;40
